family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Saturday,8,13254.0,12174.564285714283,-1079.435714285717,0.918557739981461,0.4828783478937081,1.0,0.4828783478937081,recent21_28_56_w35_45_20_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,12381.535714285712,-872.464285714288,0.9341735109616502,0.4839424939061041,1.0,0.4839424939061041,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,11511.33333333333,-1742.6666666666697,0.8685176801971729,0.4859402407123255,1.0,0.4859402407123255,recent18_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,12381.571428571433,-872.428571428567,0.934176205565975,0.4879249064519896,1.0,0.4879249064519896,recent28_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,13761.285714285712,507.28571428571195,1.0382741598223715,0.4905059887041583,1.0,0.4905059887041583,recent56_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,12913.095238095237,-340.9047619047633,0.9742791035231052,0.4908837443098091,1.0,0.4908837443098091,recent84_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,0.0,-13254.0,0.0,0.5044638178070422,1.0,0.5044638178070422,zero,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,zero,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent14_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent18_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent28_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent56_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent84_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_w50_50_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_56_w35_45_20_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,12913.095238095237,-5198.904761904763,0.7129579968029613,0.6348010668754396,1.0,0.6348010668754396,recent84_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,13761.285714285712,-4350.714285714288,0.7597883013629478,0.6404087697858174,1.0,0.6404087697858174,recent56_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,12381.535714285712,-5730.464285714288,0.6836095248611811,0.6456928119124815,1.0,0.6456928119124815,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,12174.564285714283,-5937.435714285717,0.6721822154215041,0.6465608191282951,1.0,0.6465608191282951,recent21_28_56_w35_45_20_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,12381.571428571433,-5730.428571428567,0.6836114967188291,0.6488806519758175,1.0,0.6488806519758175,recent28_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,11691.642857142857,-6420.357142857143,0.645519150681474,0.6499118397182548,1.0,0.6499118397182548,recent21_28_w50_50_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,11387.059523809525,-6724.940476190475,0.6287024913764093,0.6516292617031225,1.0,0.6516292617031225,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,10945.27142857143,-7166.72857142857,0.6043104808177688,0.6526951753912702,1.0,0.6526951753912702,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,11511.33333333333,-6600.66666666667,0.6355638987043579,0.6527533630839244,1.0,0.6527533630839244,recent18_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,11001.714285714288,-7110.285714285712,0.6074268046441192,0.6533433405443676,1.0,0.6533433405443676,recent21_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,9572.857142857143,-8539.142857142857,0.5285367238768299,0.6550931129726554,1.0,0.6550931129726554,recent14_sunday0,seasonal_2024
weekday,Thursday,8,18112.0,0.0,-18112.0,0.0,0.7989442666915018,1.0,0.7989442666915018,zero,seasonal_2024
weekday,Tuesday,8,19747.0,12913.095238095237,-6833.904761904763,0.6539269376662398,0.7836120633912883,1.0,0.7836120633912883,recent84_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,12381.535714285712,-7365.464285714288,0.6270084425120632,0.789130489797775,1.0,0.789130489797775,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,13761.285714285712,-5985.714285714288,0.6968798153788278,0.7892515395011448,1.0,0.7892515395011448,recent56_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,12174.564285714283,-7572.435714285717,0.6165272844338018,0.7895657459720424,1.0,0.7895657459720424,recent21_28_56_w35_45_20_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,12381.571428571433,-7365.428571428567,0.6270102511050505,0.7909793158608753,1.0,0.7909793158608753,recent28_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,11691.642857142857,-8055.357142857143,0.5920718517821875,0.7916054414478592,1.0,0.7916054414478592,recent21_28_w50_50_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,11387.059523809525,-8359.940476190475,0.576647567924724,0.7925906787256736,1.0,0.7925906787256736,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,11511.33333333333,-8235.66666666667,0.5829408686551543,0.7930544835642518,1.0,0.7930544835642518,recent18_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,10945.27142857143,-8801.72857142857,0.5542751521026703,0.7933169568534203,1.0,0.7933169568534203,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,11001.714285714288,-8745.285714285712,0.5571334524593249,0.7940854187058757,1.0,0.7940854187058757,recent21_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,9572.857142857143,-10174.142857142857,0.48477526423543543,0.7966642798865885,1.0,0.7966642798865885,recent14_sunday0,seasonal_2024
weekday,Tuesday,8,19747.0,0.0,-19747.0,0.0,0.9520412769257238,1.0,0.9520412769257238,zero,seasonal_2024
weekday,Wednesday,8,13592.0,12913.095238095237,-678.9047619047633,0.9500511505367302,0.5523833805972956,1.0,0.5523833805972956,recent84_sunday0,seasonal_2024
weekday,Wednesday,8,13592.0,12381.535714285712,-1210.464285714288,0.9109428865719329,0.5619244327034789,1.0,0.5619244327034789,recent21_28_56_w25_50_25_sunday0,seasonal_2024
